learning_method,avg_train_accuracy,avg_test_accuracy,avg_precision_train_Cloudy,avg_recall_train_Cloudy,avg_f1_train_Cloudy,avg_precision_test_Cloudy,avg_recall_test_Cloudy,avg_f1_test_Cloudy,avg_precision_train_Rainy,avg_recall_train_Rainy,avg_f1_train_Rainy,avg_precision_test_Rainy,avg_recall_test_Rainy,avg_f1_test_Rainy,avg_precision_train_Snowy,avg_recall_train_Snowy,avg_f1_train_Snowy,avg_precision_test_Snowy,avg_recall_test_Snowy,avg_f1_test_Snowy,avg_precision_train_Sunny,avg_recall_train_Sunny,avg_f1_train_Sunny,avg_precision_test_Sunny,avg_recall_test_Sunny,avg_f1_test_Sunny
Batch Gradient Descent,0.9104445403539059,0.9037963761863675,0.8663386633866338,0.8923141891891891,0.879134595381735,0.8797364085667215,0.902027027027027,0.890742285237698,0.8863240418118468,0.9052491103202847,0.8956866197183098,0.8701754385964913,0.8825622775800712,0.8763250883392226,0.945629443747386,0.9830434782608697,0.9639735664037519,0.9271523178807947,0.9739130434782609,0.9499575911789652,0.9472455648926237,0.8626700680272108,0.9029817534490432,0.940409683426443,0.8573853989813243,0.8969804618117229
Mini-Batch Gradient Descent,0.9765861027190332,0.9663503019844694,0.9623837700760778,0.9615709459459459,0.9619771863117871,0.9495798319327731,0.9543918918918919,0.9519797809604043,0.9610503282275712,0.9768683274021353,0.9688947716743879,0.9663716814159292,0.9715302491103202,0.9689440993788822,0.9917391304347826,0.9917391304347826,0.9917391304347826,0.9825783972125436,0.9808695652173913,0.9817232375979114,0.9913681484678463,0.9766156462585034,0.983936603127008,0.9674657534246576,0.9592529711375212,0.9633418584825234
AdaGrad,0.9662278808804489,0.9607420189818809,0.9469473684210528,0.9497466216216216,0.9483449293695972,0.9341021416803954,0.9577702702702704,0.9457881567973312,0.9510917030567686,0.9688612099644128,0.9598942265315117,0.9575221238938052,0.9626334519572953,0.9600709849157054,0.9865509761388285,0.9886956521739132,0.9876221498371336,0.986013986013986,0.9808695652173913,0.983435047951177,0.9808529155787642,0.9583333333333334,0.9694623655913979,0.9668989547038327,0.9422750424448217,0.9544282029234739
Momentum,0.9961156668105309,0.9650560828300259,0.9940828402366864,0.9932432432432432,0.9936628643852978,0.9431438127090301,0.9527027027027029,0.9478991596638655,0.9920283436669619,0.99644128113879,0.9942299156679983,0.9642857142857142,0.9608540925266904,0.9625668449197861,0.9995652173913043,0.9995652173913043,0.9995652173913043,0.9775086505190311,0.9826086956521738,0.9800520381613183,0.9987201365187713,0.9953231292517006,0.9970187393526405,0.9759450171821304,0.9643463497453311,0.9701110162254484
