activation,repeat,test_size,avg_train_accuracy,avg_test_accuracy,avg_precision_train_0,avg_recall_train_0,avg_f1_train_0,avg_precision_test_0,avg_recall_test_0,avg_f1_test_0,avg_precision_train_1,avg_recall_train_1,avg_f1_train_1,avg_precision_test_1,avg_recall_test_1,avg_f1_test_1,avg_precision_train_2,avg_recall_train_2,avg_f1_train_2,avg_precision_test_2,avg_recall_test_2,avg_f1_test_2,avg_precision_train_3,avg_recall_train_3,avg_f1_train_3,avg_precision_test_3,avg_recall_test_3,avg_f1_test_3
linear,3.0,2318.0,0.8927924039706516,0.8919758412424503,0.8702662438363037,0.7997466216216216,0.8329017801876907,0.870071062196252,0.7956081081081081,0.830471847858926,0.8444656825388194,0.9346975088967971,0.8804598675654438,0.8461350835165247,0.9373665480427047,0.8836807326295372,0.984995680693469,0.9844347826086957,0.9846957590264747,0.9816154691732665,0.9812173913043478,0.9814029835485052,0.9020071563242278,0.8568027210884355,0.8732602756893545,0.8992808484630931,0.8584040747028862,0.8734801272548699
relu,3.0,2318.0,0.7099266292619767,0.7057808455565142,0.8653484734682078,0.3554898648648649,0.4595593874651671,0.8608878510115868,0.3472972972972973,0.4448621377553241,0.7012422998671772,0.7145017793594306,0.6225865134643942,0.5687372320454099,0.7067615658362989,0.6204483431934412,0.8606346398017953,0.895304347826087,0.8500239729501633,0.851188447673721,0.8928695652173912,0.8437522516497615,0.6642409115076215,0.8811224489795919,0.7534161277576965,0.6624985048079208,0.8825127334465195,0.7526656346729788
sigmoid,3.0,2318.0,0.6864479930945188,0.6827437446074202,0.7409241282476836,0.6297297297297297,0.5851343352768476,0.7365864295234752,0.6253378378378379,0.5850953541211169,0.6582521689988002,0.8895907473309608,0.7482425163558644,0.650014117205746,0.8935943060498222,0.7439489716227609,0.7098755951147813,0.7363478260869565,0.7187157186856399,0.7049928146916816,0.7259130434782609,0.7134339652025556,0.4770512794326761,0.5005952380952381,0.4648803632347063,0.47946107396448623,0.49711375212224107,0.4633817145049627
tanh,3.0,2318.0,0.690612861458783,0.6843830888697153,0.7170006576105589,0.48074324324324325,0.4806480554532867,0.7809112426775642,0.4739864864864865,0.47806309092483235,0.6408456711700128,0.9104982206405694,0.7458380005945657,0.63188803980245,0.9088967971530248,0.7382838165430223,0.7446584000320466,0.7157391304347825,0.7232725045545659,0.7320092833868108,0.704,0.7123315540932929,0.5546447422125522,0.6671768707482993,0.5955429317730905,0.5570159743293379,0.6624787775891342,0.595030530935433
