Neurony,avg_train_acc,avg_test_acc,precision_train_Cloudy,recall_train_Cloudy,f1_train_Cloudy,precision_test_Cloudy,recall_test_Cloudy,f1_test_Cloudy,precision_train_Rainy,recall_train_Rainy,f1_train_Rainy,precision_test_Rainy,recall_test_Rainy,f1_test_Rainy,precision_train_Snowy,recall_train_Snowy,f1_train_Snowy,precision_test_Snowy,recall_test_Snowy,f1_test_Snowy,precision_train_Sunny,recall_train_Sunny,f1_train_Sunny,precision_test_Sunny,recall_test_Sunny,f1_test_Sunny
5,0.8320889080707812,0.8283865401207937,0.8304596446720683,0.7790540540540541,0.8002253420144875,0.8235918015841586,0.7939189189189189,0.8048103798323047,0.7899001600233898,0.8306939501779359,0.8037819966841176,0.7927061652051463,0.8206405693950177,0.8009789602142832,0.8082925256817075,0.8160869565217391,0.7993482829212386,0.8091944350618974,0.808,0.7965889109550987,0.8857155346833754,0.9024659863945578,0.8937557983298541,0.8737224500294115,0.8903225806451613,0.8816756401584396
10,0.9148252050064739,0.9098360655737704,0.8979593432641371,0.8883445945945946,0.8930079801920338,0.897108839826046,0.9010135135135136,0.8989811113451548,0.872926653858209,0.8952846975088967,0.8837441279452747,0.8752270428997729,0.884341637010676,0.8795549651112283,0.9336218948104327,0.9737391304347828,0.9531628790982648,0.9250165332288903,0.9596521739130435,0.9418609566268614,0.957176468229638,0.9025510204081633,0.9289314330039545,0.9435960423846087,0.8943972835314092,0.9182430648674943
20,0.9355416486836425,0.9284728213977566,0.9240106544640005,0.911570945945946,0.9177403798455698,0.9156052320085644,0.9222972972972974,0.9189030117460723,0.9096470981635163,0.9255338078291814,0.9173562418981062,0.9167956967206757,0.912455516014235,0.9145276968863918,0.9535560818081447,0.9834782608695652,0.9682270076064567,0.9414145548931712,0.976,0.9583688056511775,0.9552082751995045,0.9223639455782313,0.9384713298862296,0.9402840650433444,0.9035653650254668,0.9215498952438633
50,0.9451230038843332,0.9389128559102675,0.9310640451451471,0.9147804054054054,0.9228486561522444,0.9235468261559185,0.9304054054054054,0.9269463446477975,0.9226373234029991,0.9451957295373665,0.933770906917269,0.9314605241388044,0.9277580071174377,0.9295807779665859,0.970342803106209,0.984,0.9771210087984541,0.9542306931001325,0.9770434782608696,0.9654816215670788,0.956299313971628,0.9375850340136054,0.9468447341902483,0.9466062294959144,0.9208828522920204,0.9335500533870785
