Aktywacja,Zbiór,MSE,RMSE,MAE,R2,MAPE (%)
relu,Train,1109142.8231413288,1051.7139857958489,696.4092749316173,0.93086015893218,33.78106470961423
relu,Test,1494034.3038715564,1205.61557906201,708.6319283833602,0.9048787442419052,33.90445314947156
sigmoid,Train,2682579.3441854054,1637.488952401093,1177.7732147497597,0.8327779744510302,59.518282076761636
sigmoid,Test,2705289.759767583,1644.4433596673196,1188.1356067047982,0.8277612779895511,59.49671862699258
tanh,Train,2467334.2069194503,1567.4369543273478,1132.1566506043723,0.8461955562724951,63.08011587389044
tanh,Test,2483064.3833468235,1572.5827941575612,1139.2158494786038,0.8419097863682955,63.28478154859677
linear,Train,1523198.0620623443,1234.1642993226287,832.7753965010097,0.9050494943225337,46.26150931022883
linear,Test,1663957.8617159796,1289.8788164136333,840.1874033324395,0.8940601558312107,45.72200417760746
