Neurony,Zbiór,MSE,RMSE,MAE,R2,MAPE (%)
5,Train,1555978.8684243553,1245.4404213669081,817.902260621747,0.9030060606955409,42.54741834484942
5,Test,2242127.5980460765,1464.2025881962315,835.5483344481408,0.8572496012016877,43.06738646213374
10,Train,1318201.7310169907,1147.6701653216842,711.2563887649401,0.9178282036575676,33.32216821731392
10,Test,1631832.8846119535,1270.6829177632094,725.956308797636,0.8961054690850071,33.53195774331008
20,Train,1226907.5989529311,1106.0159541916978,705.3326495599151,0.92351914052308,32.65455969091296
20,Test,1486518.2920016164,1210.9293145601737,718.812368844431,0.9053572690558997,32.989887384599555
50,Train,910448.6403519608,954.0704218157471,615.110425566889,0.9432460157691285,28.661398995670606
50,Test,1287965.0880752779,1132.6026924634575,631.2733829500227,0.9179986321379416,29.041922723680024
